ano;CISP1 (Praça Mauá);CISP4 (Praça da República);CISP5 (Mem de Sá);CISP6 (Cidade Nova);CISP7 (Santa Teresa);CISP9 (Catete);CISP10 (Botafogo);CISP11 (Rocinha);CISP12 (Copacaba);CISP13 (Ipanema);CISP14 (Leblon);CISP15 (Gávea);CISP16 (Barra da Tijuca);CISP17 (São Cristovão);CISP18 (Praça da Bandeira);CISP19 (Tijuca);CISP20 (Vila Isabel);CISP21 (Bonsucesso);CISP22 (Penha);CISP23 (Méier);CISP24 (Piedade);CISP25 (Engenho Novo);CISP26 (Todos os Santos);CISP27 (Vicente de Carvalho);CISP28 (Praça de Seca);CISP29 (Madureira);CISP30 (Marechal Hermes);CISP31 (Ricardo de Albuquerque);CISP32 (Taquara);CISP33 (Realengo);CISP34 (Bangu);CISP35 (Campo Grande);CISP36 (Santa Cruz);CISP37 (Ilha do governador);CISP38 (Brás de Pina);CISP39 (Pavuna);CISP40 (Honório Gurgel);CISP41 (Tanque);CISP42 (Recreio dos Bandeirantes);CISP43 (Guaratiba);CISP44 (Inhaúma);CISP45 (Complexo do Alemão);CISP48 (Seropédica);CISP50 (Itaguaí);CISP51 (Paracambi);CISP52 (Nova Iguaçu);CISP53 (Mesquita);CISP54 (Belford Roxo);CISP55 (Queimados);CISP56 (Comendador Soares);CISP57 (Nilópolis);CISP58 (Posse);CISP59 (Duque de Caxias);CISP60 (Campos Elíseos);CISP61 (Xerém);CISP62 (Imbariê);CISP63 (Japeri);CISP64 (São João de Meriti);CISP65 (Magé);CISP66 (Piabetá);CISP67 (Guapimirim);CISP70 (Tanguá);CISP71 (Itaborí);CISP72 (São Gonçalo);CISP73 (Neves);CISP74 (Alcântara);CISP75 (Rio do Ouro);CISP76 (Niterói);CISP77 (Icaraí);CISP78 (Fonseca);CISP79 (Juruba);CISP81 (Itaipu);CISP82 (Maricá);CISP88 (Barra do Piraí);CISP89 (Resende);CISP90 (Barra Mansa);CISP91 (Valença);CISP92 (Rio das Flores);CISP93 (Volta Redonda);CISP94 (Piraí);CISP95 (Vassouras);CISP96 (Miguel Pereira);CISP97 (Mendes);CISP98 (Engenheiro Paulo de Frontin);CISP99 (Itatiaia);CISP100 (Porto Real);CISP101 (Pinheiral);CISP104 (São José do Vale do Rio Preto);CISP105 (Petrópolis);CISP106 (Itaipava);CISP107 (Paraíba do Sul);CISP108 (Três Rios);CISP109 (Sapucaia);CISP110 (Teresópolis);CISP111 (Sumidouro);CISP112 (Carmo);CISP118 (Araruma);CISP119 (Rio Bonito);CISP120 (Silva Jardim);CISP121 (Casimiro de Abreu);CISP122 (Conceição de Macabu);CISP123 (Macaé);CISP124 (Saquarema);CISP125 (São Pedro da Aldeia);CISP126 (Cabo Frio);CISP127 (Armação de Búzios);CISP128 (Rio das Ostras);CISP129 (Iguaba Grande);CISP130 (Quissamã);CISP132 (Arraial do cabo);CISP134 (Campos);CISP135 (Itaocara);CISP136 (Santo Antônio de Pádua);CISP137 (Miracema);CISP138 (Laje do Muriaé);CISP139 (Porciúncula);CISP140 (Natividade);CISP141 (São Fidelis);CISP142 (Cambuci);CISP143 (Itaperuna);CISP144 (Bom Jesus do Itabapoana);CISP145 (São João da Barra);CISP146 (Guarus);CISP147 (São Francisco de Itabapoana);CISP148 (Italva);CISP151 (Nova Friburgo);CISP152 (Duas Barras);CISP153 (Cantagalo);CISP154 (Cordeiro);CISP155 (São Sebastião do Alto);CISP156 (Santa Maria Madalena);CISP157 (Trajano de Moraes);CISP158 (Bom jardim);CISP159 (Cachoeira de Macacu);CISP165 (Mangaratiba);CISP166 (Angra dos Reis);CISP167 (Paraty);CISP168 (Claro)
2003;43.0;33.0;28.0;68.0;7.0;10.0;8.0;;3.0;1.0;2.0;4.0;17.0;116.0;28.0;42.0;37.0;188.0;154.0;130.0;75.0;123.0;0.0;48.0;36.0;40.0;44.0;14.0;84.0;65.0;162.0;104.0;100.0;92.0;232.0;151.0;113.0;15.0;;0.0;161.0;;48.0;5.0;20.0;129.0;27.0;64.0;57.0;28.0;22.0;23.0;205.0;50.0;8.0;28.0;;79.0;39.0;12.0;;;100.0;33.0;11.0;25.0;7.0;33.0;5.0;24.0;5.0;0.0;14.0;3.0;13.0;20.0;0.0;0.0;19.0;41.0;7.0;0.0;0.0;1.0;6.0;1.0;;1.0;20.0;6.0;2.0;31.0;21.0;7.0;1.0;3.0;9.0;17.0;15.0;18.0;9.0;38.0;4.0;9.0;8.0;1.0;7.0;3.0;;;21.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;1.0;6.0;0.0;;3.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;2.0;1.0;4.0;0.0;2.0
2004;25.0;64.0;29.0;56.0;13.0;11.0;4.0;;3.0;0.0;2.0;5.0;10.0;211.0;35.0;31.0;53.0;349.0;197.0;136.0;89.0;176.0;0.0;54.0;38.0;46.0;77.0;6.0;65.0;80.0;105.0;92.0;92.0;64.0;209.0;224.0;142.0;14.0;;1.0;322.0;;34.0;6.0;21.0;123.0;20.0;88.0;28.0;31.0;26.0;25.0;296.0;49.0;10.0;57.0;2.0;97.0;36.0;7.0;;;78.0;37.0;12.0;25.0;7.0;23.0;3.0;12.0;3.0;1.0;10.0;12.0;22.0;22.0;0.0;0.0;10.0;46.0;1.0;0.0;1.0;0.0;6.0;2.0;0.0;0.0;20.0;8.0;3.0;38.0;14.0;15.0;0.0;3.0;6.0;21.0;6.0;13.0;5.0;43.0;4.0;3.0;2.0;3.0;6.0;3.0;;;27.0;4.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0;1.0;0.0;12.0;1.0;;5.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;7.0;8.0;0.0;0.0
2005;39.0;66.0;37.0;50.0;8.0;14.0;7.0;;6.0;2.0;7.0;5.0;21.0;115.0;25.0;39.0;48.0;426.0;202.0;87.0;89.0;208.0;4.0;112.0;45.0;50.0;89.0;1.0;76.0;59.0;91.0;68.0;65.0;26.0;245.0;247.0;121.0;23.0;;8.0;193.0;;32.0;8.0;9.0;86.0;31.0;116.0;14.0;27.0;31.0;32.0;304.0;80.0;10.0;135.0;3.0;127.0;33.0;11.0;;;59.0;41.0;17.0;22.0;8.0;22.0;5.0;23.0;3.0;3.0;7.0;5.0;23.0;13.0;2.0;0.0;3.0;45.0;3.0;1.0;0.0;0.0;3.0;1.0;1.0;1.0;17.0;4.0;6.0;22.0;6.0;9.0;0.0;0.0;5.0;12.0;10.0;17.0;4.0;27.0;3.0;3.0;7.0;0.0;5.0;0.0;;;16.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;1.0;6.0;0.0;;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;1.0;2.0;0.0;1.0
2006;72.0;23.0;32.0;33.0;4.0;11.0;9.0;;6.0;2.0;4.0;9.0;26.0;144.0;41.0;93.0;69.0;330.0;227.0;97.0;69.0;175.0;44.0;104.0;26.0;55.0;41.0;39.0;49.0;69.0;116.0;61.0;72.0;30.0;284.0;355.0;212.0;10.0;;8.0;149.0;;20.0;5.0;8.0;81.0;15.0;65.0;14.0;21.0;9.0;27.0;282.0;37.0;6.0;43.0;5.0;107.0;17.0;4.0;;;48.0;51.0;6.0;31.0;7.0;28.0;7.0;8.0;2.0;4.0;9.0;6.0;15.0;22.0;0.0;1.0;6.0;40.0;3.0;1.0;2.0;0.0;2.0;1.0;0.0;1.0;19.0;4.0;4.0;18.0;11.0;9.0;1.0;1.0;12.0;23.0;11.0;13.0;0.0;46.0;3.0;5.0;7.0;1.0;12.0;3.0;;;28.0;2.0;2.0;2.0;0.0;0.0;0.0;5.0;2.0;3.0;0.0;0.0;26.0;0.0;;14.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;2.0;3.0;0.0;2.0
2007;118.0;26.0;59.0;57.0;10.0;30.0;13.0;;7.0;1.0;6.0;8.0;10.0;153.0;42.0;117.0;102.0;242.0;158.0;96.0;81.0;172.0;66.0;102.0;34.0;55.0;48.0;82.0;64.0;58.0;136.0;41.0;33.0;18.0;174.0;334.0;198.0;11.0;;6.0;188.0;;14.0;8.0;4.0;94.0;26.0;46.0;6.0;14.0;28.0;14.0;195.0;15.0;13.0;26.0;4.0;94.0;31.0;7.0;;;53.0;117.0;14.0;54.0;6.0;36.0;7.0;11.0;0.0;4.0;5.0;8.0;8.0;14.0;0.0;0.0;8.0;18.0;10.0;0.0;0.0;1.0;4.0;4.0;0.0;1.0;17.0;5.0;3.0;21.0;12.0;5.0;0.0;2.0;8.0;16.0;11.0;22.0;10.0;46.0;1.0;18.0;8.0;4.0;3.0;1.0;;;26.0;1.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;5.0;1.0;0.0;17.0;0.0;;9.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;2.0;0.0;9.0;1.0;1.0
2008;54.0;20.0;58.0;41.0;8.0;35.0;26.0;;8.0;2.0;3.0;9.0;29.0;46.0;14.0;66.0;40.0;175.0;109.0;50.0;66.0;41.0;24.0;41.0;19.0;46.0;23.0;9.0;56.0;54.0;74.0;56.0;19.0;13.0;178.0;274.0;103.0;19.0;;2.0;83.0;;15.0;5.0;2.0;93.0;35.0;29.0;9.0;9.0;26.0;15.0;194.0;17.0;8.0;33.0;3.0;96.0;12.0;5.0;;;31.0;101.0;17.0;31.0;6.0;27.0;7.0;12.0;4.0;4.0;8.0;5.0;11.0;6.0;0.0;0.0;5.0;8.0;13.0;1.0;0.0;0.0;5.0;3.0;0.0;1.0;19.0;2.0;3.0;24.0;3.0;12.0;0.0;0.0;10.0;6.0;10.0;20.0;4.0;41.0;7.0;5.0;6.0;0.0;14.0;0.0;1.0;;28.0;0.0;2.0;1.0;0.0;0.0;0.0;4.0;0.0;8.0;0.0;0.0;20.0;3.0;;10.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2009;47.0;17.0;38.0;31.0;9.0;33.0;17.0;;7.0;1.0;4.0;7.0;33.0;52.0;6.0;42.0;18.0;125.0;113.0;20.0;28.0;33.0;13.0;46.0;24.0;31.0;25.0;5.0;24.0;33.0;63.0;55.0;17.0;18.0;151.0;212.0;50.0;2.0;;4.0;25.0;;20.0;2.0;13.0;60.0;6.0;50.0;10.0;6.0;14.0;7.0;209.0;15.0;3.0;18.0;1.0;143.0;22.0;6.0;;;18.0;102.0;24.0;18.0;5.0;49.0;8.0;8.0;1.0;4.0;15.0;8.0;4.0;8.0;2.0;0.0;6.0;14.0;10.0;0.0;0.0;1.0;1.0;4.0;1.0;0.0;11.0;4.0;2.0;17.0;9.0;2.0;0.0;1.0;11.0;11.0;4.0;21.0;3.0;38.0;2.0;4.0;12.0;2.0;9.0;1.0;8.0;;31.0;0.0;4.0;0.0;0.0;0.0;0.0;7.0;0.0;4.0;0.0;1.0;17.0;2.0;;9.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;3.0;1.0;0.0;0.0
2010;118.0;16.0;56.0;36.0;10.0;28.0;21.0;;10.0;3.0;8.0;10.0;11.0;31.0;16.0;40.0;13.0;115.0;81.0;30.0;17.0;39.0;10.0;29.0;14.0;21.0;29.0;2.0;12.0;40.0;96.0;70.0;10.0;17.0;109.0;166.0;22.0;3.0;0.0;8.0;27.0;;15.0;14.0;10.0;48.0;12.0;75.0;10.0;24.0;12.0;6.0;236.0;19.0;14.0;12.0;2.0;133.0;18.0;6.0;;;28.0;112.0;16.0;19.0;6.0;34.0;7.0;4.0;1.0;2.0;8.0;7.0;4.0;4.0;5.0;0.0;5.0;14.0;2.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;11.0;0.0;1.0;7.0;5.0;10.0;1.0;3.0;9.0;6.0;7.0;11.0;9.0;47.0;3.0;7.0;17.0;1.0;27.0;4.0;11.0;;30.0;4.0;4.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;11.0;0.0;0.0;8.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;3.0;4.0;3.0;0.0;0.0
2011;41.0;10.0;21.0;12.0;7.0;16.0;7.0;;11.0;5.0;8.0;10.0;11.0;44.0;9.0;32.0;30.0;105.0;91.0;27.0;23.0;26.0;11.0;47.0;9.0;18.0;39.0;21.0;19.0;41.0;94.0;117.0;29.0;17.0;99.0;226.0;67.0;5.0;2.0;19.0;17.0;;21.0;3.0;3.0;86.0;16.0;70.0;13.0;26.0;22.0;25.0;375.0;25.0;11.0;10.0;3.0;156.0;15.0;8.0;1.0;3.0;62.0;183.0;36.0;66.0;15.0;31.0;1.0;11.0;0.0;3.0;15.0;5.0;7.0;13.0;0.0;0.0;3.0;15.0;0.0;0.0;0.0;0.0;3.0;6.0;0.0;0.0;8.0;3.0;0.0;6.0;6.0;7.0;1.0;2.0;14.0;9.0;12.0;21.0;4.0;43.0;12.0;12.0;17.0;4.0;26.0;1.0;7.0;2.0;11.0;1.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;13.0;0.0;2.0;1.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;2.0;4.0;1.0;0.0;0.0
2012;25.0;11.0;17.0;16.0;6.0;21.0;5.0;;6.0;1.0;4.0;4.0;15.0;72.0;8.0;21.0;15.0;78.0;111.0;16.0;33.0;35.0;15.0;80.0;18.0;23.0;27.0;35.0;13.0;80.0;148.0;135.0;31.0;10.0;190.0;379.0;79.0;17.0;11.0;9.0;23.0;;25.0;11.0;11.0;91.0;20.0;102.0;17.0;51.0;30.0;23.0;390.0;50.0;17.0;25.0;11.0;196.0;21.0;7.0;10.0;3.0;37.0;221.0;42.0;87.0;14.0;23.0;5.0;14.0;0.0;5.0;12.0;2.0;13.0;8.0;0.0;0.0;13.0;25.0;2.0;1.0;0.0;0.0;1.0;5.0;1.0;1.0;6.0;3.0;1.0;5.0;4.0;8.0;0.0;1.0;10.0;7.0;3.0;11.0;5.0;20.0;4.0;11.0;10.0;1.0;11.0;0.0;0.0;0.0;12.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;3.0;14.0;0.0;1.0;4.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;2.0;4.0;0.0;0.0
2013;26.0;9.0;21.0;24.0;3.0;3.0;6.0;0.0;6.0;4.0;1.0;2.0;7.0;53.0;6.0;32.0;19.0;71.0;96.0;28.0;54.0;49.0;24.0;45.0;21.0;34.0;31.0;65.0;23.0;67.0;186.0;118.0;26.0;15.0;155.0;303.0;46.0;6.0;8.0;12.0;36.0;0.0;20.0;8.0;14.0;115.0;21.0;198.0;27.0;66.0;48.0;75.0;293.0;80.0;10.0;48.0;3.0;203.0;20.0;6.0;6.0;4.0;15.0;78.0;82.0;61.0;12.0;18.0;3.0;12.0;0.0;0.0;8.0;4.0;7.0;7.0;0.0;0.0;3.0;11.0;2.0;0.0;0.0;0.0;4.0;8.0;0.0;0.0;7.0;1.0;0.0;4.0;2.0;4.0;0.0;0.0;10.0;9.0;7.0;10.0;1.0;24.0;8.0;7.0;11.0;4.0;13.0;4.0;2.0;2.0;17.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;1.0;11.0;1.0;5.0;10.0;0.0;1.0;2.0;0.0;1.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0
2014;50.0;26.0;44.0;30.0;4.0;7.0;4.0;5.0;8.0;6.0;16.0;10.0;28.0;103.0;20.0;23.0;51.0;207.0;156.0;42.0;69.0;69.0;35.0;140.0;40.0;86.0;114.0;154.0;50.0;123.0;306.0;197.0;53.0;30.0;274.0;571.0;144.0;15.0;11.0;11.0;92.0;12.0;35.0;17.0;26.0;115.0;48.0;213.0;16.0;54.0;134.0;75.0;374.0;106.0;18.0;68.0;13.0;295.0;19.0;9.0;3.0;3.0;18.0;160.0;104.0;145.0;52.0;23.0;10.0;20.0;3.0;5.0;8.0;2.0;2.0;4.0;1.0;1.0;9.0;27.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;3.0;2.0;1.0;9.0;4.0;6.0;0.0;5.0;9.0;10.0;10.0;3.0;2.0;26.0;3.0;2.0;16.0;5.0;4.0;4.0;2.0;0.0;24.0;2.0;3.0;0.0;0.0;0.0;0.0;4.0;1.0;4.0;0.0;0.0;14.0;0.0;4.0;2.0;2.0;2.0;2.0;6.0;2.0;0.0;0.0;4.0;0.0;10.0;1.0;1.0
2015;31.0;24.0;52.0;19.0;5.0;13.0;10.0;11.0;2.0;1.0;12.0;5.0;20.0;126.0;9.0;24.0;61.0;185.0;176.0;41.0;75.0;73.0;34.0;141.0;44.0;129.0;106.0;268.0;40.0;187.0;414.0;271.0;67.0;30.0;257.0;701.0;224.0;25.0;24.0;17.0;222.0;19.0;53.0;34.0;27.0;144.0;67.0;173.0;51.0;75.0;149.0;101.0;566.0;121.0;18.0;68.0;24.0;472.0;44.0;23.0;16.0;4.0;35.0;135.0;63.0;137.0;42.0;33.0;3.0;16.0;3.0;0.0;12.0;2.0;3.0;5.0;4.0;0.0;10.0;27.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;11.0;2.0;0.0;10.0;6.0;12.0;0.0;5.0;7.0;4.0;4.0;14.0;1.0;29.0;6.0;7.0;28.0;0.0;12.0;10.0;3.0;0.0;24.0;2.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;2.0;19.0;0.0;2.0;2.0;0.0;0.0;4.0;3.0;0.0;0.0;0.0;5.0;7.0;16.0;0.0;0.0
2016;33.0;49.0;41.0;75.0;6.0;14.0;7.0;2.0;10.0;9.0;8.0;6.0;44.0;81.0;21.0;19.0;40.0;281.0;280.0;37.0;32.0;149.0;57.0;226.0;48.0;291.0;58.0;520.0;49.0;202.0;495.0;229.0;58.0;40.0;334.0;593.0;287.0;13.0;12.0;25.0;152.0;31.0;91.0;33.0;31.0;157.0;181.0;343.0;124.0;302.0;192.0;238.0;657.0;269.0;33.0;130.0;54.0;645.0;40.0;17.0;27.0;7.0;62.0;334.0;122.0;216.0;114.0;11.0;8.0;31.0;7.0;6.0;13.0;4.0;6.0;20.0;3.0;2.0;19.0;22.0;3.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;12.0;4.0;2.0;9.0;8.0;8.0;0.0;2.0;8.0;9.0;11.0;17.0;5.0;60.0;2.0;13.0;30.0;5.0;10.0;3.0;11.0;0.0;29.0;1.0;4.0;0.0;0.0;1.0;0.0;2.0;0.0;8.0;0.0;1.0;20.0;0.0;2.0;9.0;1.0;3.0;0.0;2.0;0.0;1.0;0.0;1.0;2.0;13.0;0.0;1.0
2017;20.0;11.0;23.0;62.0;10.0;22.0;8.0;0.0;13.0;8.0;24.0;4.0;27.0;80.0;23.0;53.0;88.0;337.0;271.0;33.0;69.0;249.0;190.0;212.0;42.0;277.0;72.0;498.0;27.0;186.0;466.0;189.0;41.0;46.0;572.0;646.0;263.0;18.0;19.0;23.0;146.0;3.0;70.0;6.0;35.0;114.0;119.0;487.0;90.0;176.0;100.0;210.0;649.0;374.0;23.0;121.0;26.0;493.0;35.0;30.0;9.0;10.0;126.0;621.0;164.0;386.0;319.0;7.0;6.0;52.0;20.0;5.0;6.0;2.0;5.0;4.0;5.0;1.0;9.0;10.0;3.0;2.0;0.0;0.0;3.0;5.0;0.0;1.0;21.0;5.0;1.0;11.0;6.0;8.0;2.0;1.0;13.0;8.0;22.0;11.0;5.0;30.0;6.0;14.0;23.0;3.0;10.0;1.0;6.0;0.0;22.0;1.0;4.0;0.0;1.0;0.0;0.0;4.0;0.0;3.0;1.0;0.0;12.0;0.0;1.0;12.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;3.0;11.0;1.0;3.0
2018;9.0;17.0;18.0;82.0;16.0;16.0;16.0;1.0;6.0;4.0;3.0;10.0;30.0;64.0;9.0;28.0;59.0;284.0;329.0;21.0;70.0;144.0;64.0;108.0;53.0;109.0;36.0;241.0;55.0;222.0;423.0;178.0;52.0;34.0;500.0;338.0;127.0;48.0;24.0;33.0;128.0;9.0;53.0;19.0;37.0;45.0;57.0;609.0;44.0;102.0;39.0;125.0;571.0;213.0;35.0;100.0;13.0;412.0;31.0;19.0;10.0;13.0;296.0;520.0;268.0;560.0;353.0;15.0;20.0;152.0;49.0;5.0;10.0;5.0;4.0;10.0;4.0;0.0;5.0;17.0;6.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;22.0;1.0;0.0;11.0;9.0;4.0;2.0;8.0;19.0;3.0;10.0;16.0;2.0;31.0;12.0;9.0;20.0;3.0;7.0;3.0;1.0;0.0;23.0;3.0;9.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0;1.0;1.0;15.0;0.0;1.0;7.0;2.0;1.0;0.0;1.0;0.0;0.0;3.0;6.0;5.0;35.0;1.0;0.0
2019;15.0;3.0;14.0;67.0;13.0;19.0;8.0;0.0;0.0;2.0;0.0;2.0;15.0;30.0;15.0;17.0;37.0;215.0;165.0;29.0;56.0;68.0;69.0;163.0;23.0;80.0;34.0;221.0;72.0;266.0;348.0;199.0;32.0;33.0;248.0;337.0;76.0;20.0;19.0;39.0;76.0;;53.0;17.0;13.0;48.0;72.0;251.0;24.0;122.0;54.0;112.0;606.0;182.0;34.0;151.0;14.0;542.0;11.0;26.0;5.0;2.0;96.0;399.0;232.0;460.0;306.0;11.0;6.0;96.0;36.0;15.0;12.0;2.0;4.0;15.0;0.0;0.0;8.0;15.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;21.0;2.0;1.0;5.0;8.0;3.0;0.0;0.0;15.0;8.0;11.0;7.0;1.0;15.0;11.0;6.0;5.0;1.0;6.0;2.0;9.0;1.0;17.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;11.0;2.0;3.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;3.0;59.0;0.0;0.0
